Код МКБ,Количество
Z00.0,4920
I11.9,4493
I11.0,1918
M42.1,1804
K02.1,641
E78.0,592
K04.0,575
J06.9,488
G90.9,471
E66.0,404
K04.5,391
J02.9,367
J20.9,284
I50.0,275
E11.9,234
Z00.2,220
J00,219
E66.8,208
Z01.2,208
S72.1,206
K00.6,203
J44.8,201
Z00.1,185
Z00.3,183
N60.1,178
I20.8,176
I63.4,173
Z01.4,172
I67.8,169
K29.3,164
K29.9,159
R10.4,158
M21.4,155
J18.9,153
J04.1,152
I25.8,147
D50.9,137
I63.9,132
E11.7,131
N20.0,128
J44.9,128
K40.9,118
M19.0,109
O80.0,106
D73.3,106
G90.8,106
I70.2,101
A09.0,100
H25.0,96
N40,95
I22.1,95
Z01.1,94
Q20.8,91
Z27.8,88
K80.0,88
B15.9,80
D25.9,79
C97,77
M41.1,75
I25.2,75
A41.9,73
L23.9,72
E06.3,72
J06.8,72
G93.4,72
K22.1,72
H40.1,71
N71.0,71
T02.8,71
K86.1,70
I83.9,70
E10.7,70
O20.0,70
K29.5,69
K03.6,69
S72.0,69
L08.9,69
H35.8,65
J01.0,64
N70.1,63
J21.9,62
H52.1,60
N11.1,60
C61,59
S00.0,59
I61.0,59
J44.1,59
E11.5,58
I67.2,56
O47.1,56
H65.0,55
L85.9,55
C50.4,54
K64.2,54
Z01.0,53
K08.1,53
J18.8,53
G40.0,53
K02.9,52
K66.0,51
M23.2,50
S60.0,50
J45.0,50
K56.5,50
E11.8,49
N20.1,49
B17.9,49
E11.1,48
B97.8,47
G96.8,47
G20,47
J35.2,46
L50.0,46
R10.0,46
D50.0,45
I63.8,45
A04.7,45
M17.0,44
B18.2,44
S93.4,42
H35.3,42
S42.2,41
K25.0,41
N76.0,39
K05.1,39
O43.8,37
S52.5,36
L02.4,36
K80.1,35
K42.9,35
M16.0,34
L30.1,34
B35.1,34
L40.0,34
K82.8,34
O26.9,33
S90.0,33
O41.0,33
N30.0,32
M17.1,32
I48.0,32
S92.3,32
P59.9,32
P94.9,32
N83.2,31
H27.1,31
I63.3,31
S80.0,31
N83.6,31
H61.2,31
R52.1,30
M16.1,30
H35.0,30
E89.0,30
J04.0,30
M40.0,30
N39.0,29
M15.0,28
H90.3,28
M23.9,28
R47.8,28
K92.2,28
K83.0,28
S61.0,27
S06.0,27
K43.9,27
Q21.1,27
N60.0,27
Z72.9,27
D21.1,27
C64,26
H26.2,26
Q66.4,26
B35.4,26
K07.3,25
S01.8,24
E04.1,24
E04.0,24
H52.2,24
Z01.8,24
N84.1,24
O02.0,24
C20,23
C34.1,23
I67.9,23
O42.0,23
K82.0,23
E04.2,23
T25.0,23
N11.0,22
N85.0,22
R73.9,22
Z24.2,22
D25.2,22
N93.8,22
I10,21
D25.1,21
N80.0,21
C50.9,21
Z00.8,21
I69.3,21
J45.8,20
H52.5,20
H25.8,19
K07.2,19
K61.2,19
H52.4,19
D18.0,19
I49.8,19
Z09.4,19
T18.2,19
M21.5,19
D38.1,18
J35.1,18
N76.1,18
S02.6,18
C25.0,18
S20.2,18
J31.2,18
C73,18
S52.4,18
K74.5,18
Q64.8,18
R17,18
I86.1,17
S52.3,17
Q63.9,17
H10.0,17
K81.1,17
J34.2,17
M75.2,17
C50.3,17
N81.6,16
G35,16
T15.0,16
G63.2,16
Z03.9,16
N11.9,16
K59.9,16
C44.5,16
K10.2,16
M41.9,16
S62.61,16
D64.9,16
Z27.1,15
N95.2,15
Z34.8,15
N10,15
K04.1,15
D25.0,15
J03.9,15
C18.7,15
C83.8,15
Q23.0,15
B19.9,14
M19.9,14
J30.0,14
K74.6,14
C50.8,14
K60.3,14
